Report ID;ComponentName;Model;Serial Number;Component Code;Failure;Additional Failure Description;Parent Case;Failure SMR;Active Stage;Failure2;Failure3;Failure32;Delivery;Failed Part Number;Failed Part Name;Component Name;Phenomenon Name;Plant;Current Queue;Status Reason;Created;Distributor;Subsidiary;Issue2;Additional Notes(Request);Distributor Contact;Filial DB code;Filial DB Name;LT DB;FY;YEAR
KBISP202309503;PC130LC-10M0, ARM, PIPE, WRONG/MISSING PART, FALTA DE COMPONENTES  ;PC130LC-10M0;B20283;000 - Machine;Missing part;FALTA DE COMPONENTES;;4,9;Plant.QA Approved;04/09/2023;;30/06/2023;;22B-70-21640;PIPE;ARM;WRONG/MISSING PART;KDB (Plant) (51);KDB - Quality Assurance;In Process;14/09/2023;BAUKO (213SPA);KBI (9447);14/09/2023;Primeira máquina do cliente.;Caio Rodrigues;213ESD;Bauko;10;FY2023;2023
KBIPR202309508;PC130LC-10M0, ACCESSORY & PARTS, ANEL O'RING, DEFECTIVE ADJUSTMENT, VAZAMENTO MANGUEIRA DE ALIMENTAÇÃO  ;PC130LC-10M0;B20296;6A0 - Hydraulic piping;Hose leak;VAZAMENTO MANGUEIRA DE ALIMENTAÇÃO;;17;Closed;04/09/2023;04/09/2023;20/07/2023;;02896-61018E;ANEL O'RING;ACCESSORY & PARTS;DEFECTIVE ADJUSTMENT;KDB (Plant) (51);;Completed;21/09/2023;VIANMAQ (213PRB);KBI (9447);21/09/2023;Acreditamos que não foi realizado o torque da porca da maquina adequadamente durante a montagem do equipamento na fabrica. Por isso que aconteceu de as mangueiras se soltarem ocasionando o vazamento. Após a substituição foi feito testes e realizado a entrega técnica ao cliente conforme manual de fabrica.;Neia Sene;213PRB;Vianmaq ;17;FY2023;2023
KBIMB202309516;PC130LC-10M0, AIR CONDITIONER, O-ring, MALFUNCTION, VAZAMENTO LÍQUIDO REFRIGERANTE  ;PC130LC-10M0;B20299;450 - A/C;Coolant leak;VAZAMENTO LÍQUIDO REFRIGERANTE;;7;Closed;31/08/2023;01/09/2023;24/07/2023;;20Y-979-3140;O-ring;AIR CONDITIONER;MALFUNCTION;KDB (Plant) (51);;Completed;25/09/2023;Mason (213I);KBI (9447);25/09/2023;Equipamento liberado para operação.;Whasterley Silva;213I;Mason;25;FY2023;2023
KBISP202307524;PC130LC-10M0, BUCKET(H/E BACKHOE), PINO, MALFUNCTION, FOLGA NA CAÇAMBA  ;PC130LC-10M0;B20060;716 - Bucket;Bucket clearance;FOLGA NA CAÇAMBA;;2028;Plant.Confirmed;26/07/2023;;20/05/2022;01/08/2022;203-70-44380;PINO;BUCKET(H/E BACKHOE);MALFUNCTION;KDB (Plant) (51);KDB - Quality Assurance;In Process;27/07/2023;BAUKO (213SPA);KBI (9447);27/09/2023;O cliente realizou todas as revisões na concessionária e utilizou graxa à base de sabão de lítio com aditivo de pressão extrema.;Caio Rodrigues;213ESD;Bauko;63;FY2023;2023
KBISP202307526;PC130LC-10M0, BUCKET(H/E BACKHOE), PINO, MALFUNCTION, DESGASTE PREMATURO NO PINO DA CAÇAMBA  ;PC130LC-10M0;B20162;716 - Bucket;Pin wear;DESGASTE PREMATURO NO PINO DA CAÇAMBA;;1727;Closed;26/07/2023;26/07/2023;26/09/2022;27/10/2022;22B-70-22550;PINO;BUCKET(H/E BACKHOE);MALFUNCTION;KDB (Plant) (51);;Completed;27/07/2023;BAUKO (213SPA);KBI (9447);27/09/2023;O cliente realizou todas as revisões na concessionária e utilizou graxa à base de sabão de lítio com aditivo de pressão extrema.;Caio Rodrigues;213ESD;Bauko;63;FY2023;2023
KBISP202309506;PC130LC-10M0, ARM, PINO, DEFECTIVE ADJUSTMENT, INEFICIÊNCIA NO FUNCIONAMENTO DO BRAÇO  ;PC130LC-10M0;B20143;711 - Boom;Boom cylinder cover;INEFICIÊNCIA NO FUNCIONAMENTO DO BRAÇO;;759;Closed;03/07/2023;14/07/2023;26/08/2022;;22B-70-21910;PINO;ARM;DEFECTIVE ADJUSTMENT;KDB (Plant) (51);;Completed;28/09/2023;BAUKO (213SPA);KBI (9447);28/09/2023;;Paulo Dias;213SPA;Bauko;87;FY2023;2023
KBISP202309509;PC130LC-10M0, ACCESSORY & PARTS, CHAVE, MALFUNCTION,   ;PC130LC-10M0;B20283;984 - Acessory / Others;Wrong key delivered;;;4,7;Sub.Submitted;31/08/2023;31/08/2023;30/06/2023;05/09/2023;TR261434-0001;CHAVE;ACCESSORY & PARTS;MALFUNCTION;KDB (Plant) (51);Pending Requests;Pending Request;29/09/2023;BAUKO (213SPA);KBI (9447);29/09/2023;;Paulo Dias;213SPA;Bauko;29;FY2023;2023
KBISP202310514;PC130LC-10M0, IDLER, RODA GUIA L.E, BROKEN, FRATURA NA PISTA DE ROLAGEM RODA GUIA  ;PC130LC-10M0;B20053;303 - Front idler;Front idler crack;FRATURA NA PISTA DE ROLAGEM RODA GUIA;;1461;Closed;20/09/2023;;27/04/2022;08/06/2022;203-30-B0010;RODA GUIA L.E;IDLER;BROKEN;KDB (Plant) (51);;Completed;02/10/2023;BAUKO (213SPA);KBI (9447);03/10/2023;;Luis Siqueira;213SPA;Bauko;13;FY2023;2023
KBISP202310515;PC130LC-10M0, AIR CONDITIONER, CONDENSADOR, ENTER/LEAKS, VAZAM. NO CONDENSADOR  ;PC130LC-10M0;B20043;450 - A/C;Condensor leak;VAZAM. NO CONDENSADOR;;1244;Closed;27/09/2023;;14/04/2022;17/05/2022;2A5-979-1282;CONDENSADOR;AIR CONDITIONER;ENTER/LEAKS;KDB (Plant) (51);;Completed;05/10/2023;BAUKO (213SPA);KBI (9447);05/10/2023;;Paulo Dias;213SPA;Bauko;8;FY2023;2023
KBISP202310521;PC130LC-10M0, ENGINE ASSY, TURBINA, MALFUNCTION, RUÍDO DEVIDO DANOS NA HÉLICE DA TURBINA  ;PC130LC-10M0;B20255;A90 - Turbocharger;Turbocharger;RUÍDO DEVIDO DANOS NA HÉLICE DA TURBINA;;520;Closed;22/09/2023;29/09/2023;16/03/2023;12/07/2023;6271-81-8100;TURBINA;ENGINE ASSY;MALFUNCTION;KDB (Plant) (51);;Completed;06/10/2023;BAUKO (213SPA);KBI (9447);06/10/2023;;Paulo Dias;213SPA;Bauko;14;FY2023;2023
KBISP202310524;PC130LC-10M0, TC COOLER & OIL COOLER GROUP, ANTICONGELANTE, HIGH/LOW LEVEL, NÍVEL BAIXO DE ANTICONGELANTE  ;PC130LC-10M0;B20248;984 - Acessory / Others;Coolant level;NÍVEL BAIXO DE ANTICONGELANTE;;82;Closed;22/09/2023;22/09/2023;23/02/2023;31/05/2023;600-411-1113;ANTICONGELANTE;TC COOLER & OIL COOLER GROUP;HIGH/LOW LEVEL;KDB (Plant) (51);;Completed;09/10/2023;BAUKO (213SPA);KBI (9447);09/10/2023;;Paulo Dias;213SPA;Bauko;17;FY2023;2023
KBISP202310529;PC130LC-10M0, IDLER, Vedação da roda guia, MALFUNCTION, Vazamento roda guia  ;PC130LC-10M0;B20284;303 - Front idler;Front iddler seal;Vazamento roda guia;;106,1;Sub.Received;23/10/2023;;30/06/2023;04/09/2023;175-30-00702;Vedação da roda guia;IDLER;MALFUNCTION;KDB (Plant) (51);KBI - Construction Service;In Process;23/10/2023;BAUKO (213SPA);KBI (9447);23/10/2023;;Gabriel Bonifacio;213SPB;Bauko;0;FY2023;2023
KBIPR202310510;PC130LC-10M0, BUCKET(H/E BACKHOE), CAÇAMBA, OTHER, DESGASTE PREMATURO DA CONCHA  ;PC130LC-10M0;B20188;716 - Bucket;Bucket wear;DESGASTE PREMATURO DA CONCHA;;1323;Sub.Received;08/10/2023;;25/10/2022;03/01/2023;xx;CAÇAMBA;BUCKET(H/E BACKHOE);OTHER;KDB (Plant) (51);KBI - Construction Service;In Process;24/10/2023;VIANMAQ (213PRB);KBI (9447);24/10/2023;Analisando o ambiente de operação e a condição da caçamba em geral, entendemos que houve um desgaste prematuro nas chapas de desgaste e na solda da chapa de reforço lateral que soltou, por isso estamos solicitando uma análise para possível reparo em garantia.;Neia Sene;213PRB;Vianmaq ;16;FY2023;2023
KBISP202311508;PC130LC-10M0, AIR CONDITIONER, COMPRESSOR, DEFECTIVE APPEARANCE,   ;PC130LC-10M0;B20305;450 - A/C;Compressor;;;67;Sub.Received;02/10/2023;27/10/2023;31/07/2023;05/09/2023;20Y-810-1260;COMPRESSOR;AIR CONDITIONER;DEFECTIVE APPEARANCE;KDB (Plant) (51);KBI - Construction Service;In Process;10/11/2023;BAUKO (213SPA);KBI (9447);10/11/2023;;Luis Siqueira;213SPA;Bauko;39;FY2023;2023
KBIPR202311504;PC130LC-10M0, SPROCKET, Roda Dentada, DEFECTIVE APPEARANCE, RODA MOTRIZ DESPLACANDO  ;PC130LC-10M0;B20296;279 - Sprocket;Sprocket;RODA MOTRIZ DESPLACANDO;;296;Sub.Received;09/11/2023;;20/07/2023;04/09/2023;203-27-D1110;Roda Dentada;SPROCKET;DEFECTIVE APPEARANCE;KDB (Plant) (51);KBI - Construction Service;In Process;17/11/2023;VIANMAQ (213PRB);KBI (9447);17/11/2023;Foi realizado inspeção visual nos roletes, correntes, rodas motrizes, verificado aperto do conjunto do comando final, folga das esteiras e realizado testes operacionais. Nos testes realizados não ocorreu a situação apontada pelo cliente de a esteira estar “montando”, porém foi verificado uma diferença nas condições entre as rodas motrizes do LE e do LD. Conforme evidências apresentadas, a roda motriz do lado direiro apresenta marcas de arrancamento de material ou falha de fabricação. O Cliente demontra preocupação devido o equipamento estar com pouco uso. Orientamos o mesmo que iriamos entrar em contato com fabrica para saber se teria algum procedimento para essa falha.;Neia Sene;213PRB;Vianmaq ;8;FY2023;2023
KBISP202311511;PC130LC-10M0, HYDRAULIC CONTROL VALVE, COMADO HIDRAULICO, MALFUNCTION,   ;PC130LC-10M0;B20255;RX0 - Control valve;Internal leak;;;738;Sub.Submitted;08/11/2023;;16/03/2023;12/07/2023;723-56-15804;COMADO HIDRAULICO;HYDRAULIC CONTROL VALVE;MALFUNCTION;KDB (Plant) (51);Pending Requests;Pending Request;21/11/2023;BAUKO (213SPA);KBI (9447);21/11/2023;;Paulo Dias;213SPA;Bauko;13;FY2023;2023
KBISP202311513;PC130LC-10M0, ENGINE ASSY, MUFFLER, MALFUNCTION,   ;PC130LC-10M0;B20291;A1T - Muffler;Abnormal noise on muffler (before countermeasure);;;382;Sub.Received;16/11/2023;21/11/2023;14/07/2023;05/09/2023;6271-11-5230;MUFFLER;ENGINE ASSY;MALFUNCTION;KDB (Plant) (51);KBI - Construction Service;In Process;22/11/2023;BAUKO (213SPA);KBI (9447);22/11/2023;PRIMEIRA MÁQUINA DO CLIENTE;Caio Rodrigues;213ESD;Bauko;6;FY2023;2023
KBISP202311518;PC130LC-10M0, ENGINE ASSY, MUFFLER, MALFUNCTION,   ;PC130LC-10M0;B20311;A1T - Muffler;Abnormal noise on muffler (before countermeasure);;;380;Sub.Received;27/11/2023;;04/08/2023;19/10/2023;6271/11/5230;MUFFLER;ENGINE ASSY;MALFUNCTION;KDB (Plant) (51);KBI - Construction Service;In Process;28/11/2023;BAUKO (213SPA);KBI (9447);28/11/2023;;Caio Rodrigues;213ESD;Bauko;1;FY2023;2023
KBISP202311519;PC130LC-10M0, BOOM, 203-70-61760, DEFECTIVE APPEARANCE,   ;PC130LC-10M0;B20337;000 - Machine;Painting;;;57;Sub.Received;28/11/2023;28/11/2023;26/09/2023;;203-70-61760;203-70-61760;BOOM;DEFECTIVE APPEARANCE;KDB (Plant) (51);KBI - Construction Service;In Process;28/11/2023;BAUKO (213SPA);KBI (9447);28/11/2023;Primeira máquina do cliente;Caio Rodrigues;213ESD;Bauko;0;FY2023;2023
KBISP202312501;PC130LC-10M0, OTHERS, ÓLEO HIDRÁULICO, HIGH/LOW LEVEL,   ;PC130LC-10M0;B20292;601 - Hydraulic tank;Hyd. Oil level;;;305;Sub.Received;20/10/2023;20/10/2023;17/07/2023;;43346855;ÓLEO HIDRÁULICO;OTHERS;HIGH/LOW LEVEL;KDB (Plant) (51);KBI - Construction Service;In Process;01/12/2023;BAUKO (213SPA);KBI (9447);01/12/2023;;Paulo Dias;213SPA;Bauko;42;FY2023;2023
KBISP202312503;PC130LC-10M0, AIR CONDITIONER, 203-979-1121, MALFUNCTION,   ;PC130LC-10M0;B20306;450 - A/C;A/C;;;48;Sub.Received;20/09/2023;;01/08/2023;;203-979-1121;203-979-1121;AIR CONDITIONER;MALFUNCTION;KDB (Plant) (51);KBI - Construction Service;In Process;01/12/2023;BAUKO (213SPA);KBI (9447);01/12/2023;PRIMEIRA MÁQUINA DO CLIENTE;Caio Rodrigues;213ESD;Bauko;72;FY2023;2023
KBISP202312510;PC130LC-10M0, BUCKET(H/E BACKHOE), LINK, DEFECTIVE APPEARANCE, MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA  ;PC130LC-10M0;B20317;716 - Bucket;Bucket link visual complain;MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA;;6,5;Closed;07/12/2023;;29/08/2023;;202-70-64131;LINK;BUCKET(H/E BACKHOE);DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;07/12/2023;BAUKO (213SPA);KBI (9447);07/12/2023;MÁQUINA DE PÁTIO;Gabriel Augusto;213ESD;Bauko;0;FY2023;2023
KBISP202312511;PC130LC-10M0, BUCKET(H/E BACKHOE), LINK, DEFECTIVE APPEARANCE, MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA  ;PC130LC-10M0;B20340;716 - Bucket;Bucket link visual complain;MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA;;4,8;Closed;07/12/2023;;29/09/2023;;202-70-64131;LINK;BUCKET(H/E BACKHOE);DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;07/12/2023;BAUKO (213SPA);KBI (9447);07/12/2023;MÁQUINA DE PÁTIO;Gabriel Augusto;213ESD;Bauko;0;FY2023;2023
KBISP202312512;PC130LC-10M0, BUCKET(H/E BACKHOE), LINK, DEFECTIVE APPEARANCE, MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA  ;PC130LC-10M0;B20343;716 - Bucket;Bucket link visual complain;MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA;;6,8;Closed;07/12/2023;;02/10/2023;;202-70-64131;LINK;BUCKET(H/E BACKHOE);DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;07/12/2023;BAUKO (213SPA);KBI (9447);07/12/2023;MÁQUINA DE PÁTIO;Gabriel Augusto;213ESD;Bauko;0;FY2023;2023
KBISP202312513;PC130LC-10M0, BUCKET(H/E BACKHOE), LINK, DEFECTIVE APPEARANCE, MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA  ;PC130LC-10M0;B20349;716 - Bucket;Bucket link visual complain;MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA;;4;Closed;07/12/2023;;16/10/2023;;202-70-64131;LINK;BUCKET(H/E BACKHOE);DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;07/12/2023;BAUKO (213SPA);KBI (9447);07/12/2023;;Paulo Dias;213SPA;Bauko;0;FY2023;2023
KBISP202312514;PC130LC-10M0, BUCKET(H/E BACKHOE), LINK, DEFECTIVE APPEARANCE, MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA  ;PC130LC-10M0;B20347;716 - Bucket;Bucket link visual complain;MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA;;3;Closed;07/12/2023;;09/10/2023;;202-70-64131;LINK;BUCKET(H/E BACKHOE);DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;07/12/2023;BAUKO (213SPA);KBI (9447);07/12/2023;;Paulo Dias;213SPA;Bauko;0;FY2023;2023
KBISP202312515;PC130LC-10M0, BUCKET(H/E BACKHOE), LINK, DEFECTIVE APPEARANCE, MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA  ;PC130LC-10M0;B20348;716 - Bucket;Bucket link visual complain;MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA;;3;Closed;07/12/2023;;11/10/2023;;202-70-64131;LINK;BUCKET(H/E BACKHOE);DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;07/12/2023;BAUKO (213SPA);KBI (9447);07/12/2023;;Paulo Dias;213SPA;Bauko;0;FY2023;2023
KBISP202312516;PC130LC-10M0, BUCKET(H/E BACKHOE), LINK, DEFECTIVE APPEARANCE, MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA  ;PC130LC-10M0;B20354;716 - Bucket;Bucket link visual complain;MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA;;3;Closed;07/12/2023;;20/10/2023;;202-70-64131;LINK;BUCKET(H/E BACKHOE);DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;07/12/2023;BAUKO (213SPA);KBI (9447);07/12/2023;;Paulo Dias;213SPA;Bauko;0;FY2023;2023
KBISP202312517;PC130LC-10M0, BUCKET(H/E BACKHOE), LINK, DEFECTIVE APPEARANCE, MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA  ;PC130LC-10M0;B20355;716 - Bucket;Bucket link visual complain;MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA;;4;Closed;07/12/2023;;23/10/2023;;202-70-64131;LINK;BUCKET(H/E BACKHOE);DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;07/12/2023;BAUKO (213SPA);KBI (9447);07/12/2023;;Paulo Dias;213SPA;Bauko;0;FY2023;2023
KBISP202312518;PC130LC-10M0, BUCKET(H/E BACKHOE), LINK, DEFECTIVE APPEARANCE, MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA  ;PC130LC-10M0;B20350;716 - Bucket;Bucket link visual complain;MAL ACABAMENTO NO LINK DO BRAÇO-CAÇAMBA;;3;Closed;07/12/2023;;18/10/2023;;202-70-64131;LINK;BUCKET(H/E BACKHOE);DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;07/12/2023;BAUKO (213SPA);KBI (9447);07/12/2023;;Paulo Dias;213SPA;Bauko;0;FY2023;2023
KBISP202312519;PC130LC-10M0, ARM, LINK, DEFECTIVE APPEARANCE,   ;PC130LC-10M0;B20338;716 - Bucket;Bucket link visual complain;;;14;Sub.Received;07/11/2023;;27/09/2023;06/11/2023;202-70-64131;LINK;ARM;DEFECTIVE APPEARANCE;KDB (Plant) (51);KBI - Construction Service;In Process;07/12/2023;BAUKO (213SPA);KBI (9447);07/12/2023;;Paulo Dias;213SPA;Bauko;30;FY2023;2023
KBISP202312520;PC130LC-10M0, BOOM, PINO, MALFUNCTION, DESGASTE PREMATURO PINO E BUCHA  ;PC130LC-10M0;B20312;711 - Boom;Pin wear;DESGASTE PREMATURO PINO E BUCHA;;337;Closed;07/12/2023;;07/08/2023;03/10/2023;22B-70-22550;PINO;BOOM;MALFUNCTION;KDB (Plant) (51);;Completed;11/12/2023;BAUKO (213SPA);KBI (9447);11/12/2023;Primeira máquina do cliente;Caio Rodrigues;213ESD;Bauko;4;FY2023;2023
KBISP202312521;PC130LC-10M0, SWIVEL JOINT, 07002-22034, MALFUNCTION,   ;PC130LC-10M0;B20336;261 - Swing machinery;Swivel joint leak;;;21;Sub.Received;12/12/2023;;26/09/2023;;07002-22034;07002-22034;SWIVEL JOINT;MALFUNCTION;KDB (Plant) (51);KBI - Construction Service;In Process;12/12/2023;BAUKO (213SPA);KBI (9447);12/12/2023;Primeira máquina do cliente .;Caio Rodrigues;213ESD;Bauko;0;FY2023;2023
KBIRS202312505;PC130LC-10M0, AIR CONDITIONER, SUPORTE CONDENSADOR, DEFECTIVE APPEARANCE,   ;PC130LC-10M0;B20141;450 - A/C;Condensor support crack;;;1684;Sub.Received;31/10/2023;12/12/2023;23/08/2022;24/01/2023;204-03-72111;SUPORTE CONDENSADOR;AIR CONDITIONER;DEFECTIVE APPEARANCE;KDB (Plant) (51);KBI - Construction Service;In Process;18/12/2023;VAMOS (2131F);KBI (9447);18/12/2023;;Gioge Seben;213RSC;VAMOS (2131F);48;FY2023;2023
KBISP202312524;PC130LC-10M0, BOOM, PINO, DEFECTIVE ADJUSTMENT, DESGASTE PREMATURO DO PINO DA LANÇA  ;PC130LC-10M0;B20291;711 - Boom;Pin wear;DESGASTE PREMATURO DO PINO DA LANÇA;;3825;Closed;21/11/2023;;14/07/2023;05/09/2023;22B-70-22550;PINO;BOOM;DEFECTIVE ADJUSTMENT;KDB (Plant) (51);;Completed;18/12/2023;BAUKO (213SPA);KBI (9447);18/12/2023;PRIMEIRA MÁQUINA DO CLIENTE;Caio Rodrigues;213ESD;Bauko;27;FY2023;2023
KBISP202312533;PC130LC-10M0, BUCKET(H/E BACKHOE), BUCKET, DEFORMATION,   ;PC130LC-10M0;B20317;716 - Bucket;Bucket clearance;;;67;Sub.Received;21/12/2023;21/12/2023;29/08/2023;;203-70-B2010;BUCKET;BUCKET(H/E BACKHOE);DEFORMATION;KDB (Plant) (51);KBI - Construction Service;In Process;21/12/2023;BAUKO (213SPA);KBI (9447);21/12/2023;;Caio Rodrigues;213ESD;Bauko;0;FY2023;2023
KBIMB202312528;PC130LC-10M0, POWER TRAIN UNIT, SWITCH, DEFECTIVE APPEARANCE, Botão Power max não aciona  ;PC130LC-10M0;B20216;D00 - Electric system;Joystick;Botão Power max não aciona;;493;Sub.Received;11/12/2023;27/12/2023;24/11/2022;;22U-43-21211;SWITCH;POWER TRAIN UNIT;DEFECTIVE APPEARANCE;KDB (Plant) (51);KBI - Construction Service;In Process;28/12/2023;Mason (213I);KBI (9447);28/12/2023;FALHA NO BOTAO DE ACIONAMENTO  DO POWER MAX.;Higor Alves;213MGC;Mason;17;FY2023;2023
KBIPR202312510;PC130LC-10M0, BUCKET(H/E BACKHOE), CAÇAMBA, BROKEN, FALHA NA CAÇAMBA DE TRABALHO  ;PC130LC-10M0;B20203;716 - Bucket;Bucket crack;FALHA NA CAÇAMBA DE TRABALHO;;2193;Sub.Received;23/12/2023;;11/11/2022;;XX;CAÇAMBA;BUCKET(H/E BACKHOE);BROKEN;KDB (Plant) (51);KBI - Construction Service;In Process;28/12/2023;VIANMAQ (213PRB);KBI (9447);28/12/2023;O CLIENTE DEMONSTRA PREOCUPAÇÃO COM ESSA CAÇAMBA, OPERA COM EQUIPAMENTOS NO MARANHÃO. O MESMO POSSUI OU ROS EQUIPAMENTOS COMO CARREGADEIRAS DE RODAS KOMATSU WA200 E WA320, E TAMBÉM DUAS ESCAVADEIRAS 313 CATERPILLAR NA MESMA OPERAÇÃO DA PC130LC-10M0.;Neia Sene;213PRB;Vianmaq ;5;FY2023;2023
KBISP202312540;PC130LC-10M0, TRACK ROLLER, TRACK GUARD, WRONG/MISSING PART,   ;PC130LC-10M0;B20340;301 - Track frame;Missing part;;;3;Sub.Received;29/12/2023;;29/09/2023;;203-30-56151;TRACK GUARD;TRACK ROLLER;WRONG/MISSING PART;KDB (Plant) (51);KBI - Construction Service;In Process;29/12/2023;BAUKO (213SPA);KBI (9447);29/12/2023;Primeiro equipamento do cliente.;Caio Rodrigues;213ESD;Bauko;0;FY2023;2023
KBIMB202401501;PC130LC-10M0, BOOM, Pino, BROKEN, PINO DA LANÇA  ;PC130LC-10M0;B20046;711 - Boom;Pin wear;PINO DA LANÇA;;5394;Closed;12/12/2023;30/01/2024;20/04/2022;29/04/2022;202-70-61160;Pino;BOOM;BROKEN;KDB (Plant) (51);;Completed;03/01/2024;Mason (213I);KBI (9447);03/01/2024;Equipamento testado e liberado.;Whasterley Silva;213I;Mason;22;FY2023;2024
KBI1F202401503;PC130LC-10M0, AIR CONDITIONER, SUPORTE, FRACTURE, DEF. SOLDA DOBRADIÇA DO SUP. CONDENSADOR  ;PC130LC-10M0;B20135;450 - A/C;Condensor support crack;DEF. SOLDA DOBRADIÇA DO SUP. CONDENSADOR;;1581;Closed;22/08/2023;;15/08/2022;16/12/2022;204-03-72111;SUPORTE;AIR CONDITIONER;FRACTURE;KDB (Plant) (51);;Completed;05/01/2024;VAMOS (2131F);KBI (9447);05/01/2024;;Francinete Santos;2131F;MAQMOB;136;FY2023;2024
KBIMB202401505;PC130LC-10M0, AIR CLEANER, Silencioso, ABNOMAL NOISE, Silencioso apresenta ruídos anormais  ;PC130LC-10M0;B20214;A1T - Muffler;Abnormal noise on muffler (before countermeasure);Silencioso apresenta ruídos anormais;PC130LC-10M0, ENGINE ASSY, MUFFLER, ABNOMAL NOISE, ABNORMAL NOISE FROM THE EXHAUST MUFFLER  ;495;Closed;29/08/2023;07/12/2023;17/11/2022;09/05/2023;6271-11-5230;Silencioso;AIR CLEANER;ABNOMAL NOISE;KDB (Plant) (51);;Completed;09/01/2024;Mason (213I);KBI (9447);09/01/2024;Equipamento testado e liberado.;Whasterley Silva;213I;Mason;133;FY2023;2024
KBIRS202401501;PC130LC-10M0, OTHERS, CONTRAPESO, DEFECTIVE APPEARANCE, FALHA APARENTE NO CONTRAPESO  ;PC130LC-10M0;B20362;542 - Counterweight;Counterweight paiting;FALHA APARENTE NO CONTRAPESO;;6;Plant.QA Approved;05/01/2024;09/01/2024;10/11/2023;01/01/1900;204-46-B1010;CONTRAPESO;OTHERS;DEFECTIVE APPEARANCE;KDB (Plant) (51);KDB - Quality Assurance;In Process;09/01/2024;VAMOS (2131F);KBI (9447);09/01/2024;PROBLEMA SOLUCIONADO.;Gioge Seben;213RSC;VAMOS (2131F);4;FY2023;2024
KBISP202312526;PC130LC-10M0, ARM, PIN, DETERIORATION, DESGASTE REMATURO CONJUNTO PINO E BUCHAS  ;PC130LC-10M0;B20316;714 - Arm;Bushing and Pin wear;DESGASTE REMATURO CONJUNTO PINO E BUCHAS;;399;Closed;18/12/2023;;10/08/2023;03/10/2023;22B-70-22550;PIN;ARM;DETERIORATION;KDB (Plant) (51);;Completed;18/12/2023;BAUKO (213SPA);KBI (9447);12/01/2024;PRIMEIRA MÁQUINA KOMATSU DO CLIENTE;Caio Rodrigues;213ESD;Bauko;25;FY2023;2024
KBIRS202401508;PC130LC-10M0, ELECTRICAL SYSTEM, SENSOR, DEFECTIVE ADJUSTMENT,   ;PC130LC-10M0;B20323;D00 - Electric system;Sensor;;;295;Closed;09/01/2024;10/01/2024;13/09/2023;10/10/2023;729-17-21000;SENSOR;ELECTRICAL SYSTEM;DEFECTIVE ADJUSTMENT;KDB (Plant) (51);;Completed;19/01/2024;VAMOS (2131F);KBI (9447);19/01/2024;;Gioge Seben;213RSC;VAMOS (2131F);10;FY2023;2024
KBIRS202401511;PC130LC-10M0, AIR CONDITIONER, SUPORTE CONDENSADOR, DEFORMATION, QUEBRA DO SUPORTE DO CONDENSADOR  ;PC130LC-10M0;B20204;450 - A/C;Condensor support crack;QUEBRA DO SUPORTE DO CONDENSADOR;;868;Closed;10/01/2024;22/01/2024;11/11/2022;06/03/2023;204-03-72111;SUPORTE CONDENSADOR;AIR CONDITIONER;DEFORMATION;KDB (Plant) (51);;Completed;31/01/2024;VAMOS (2131F);KBI (9447);31/01/2024;;Gioge Seben;213RSC;VAMOS (2131F);21;FY2023;2024
KBISP202402503;PC130LC-10M0, TROLLEY SYSTEM UNIT, LINK, BROKEN,   ;PC130LC-10M0;B20087;301 - Track frame;Track link break;;;1750;Plant.QA Approved;14/12/2023;04/01/2024;13/06/2022;14/09/2022;203-32-61130;LINK;TROLLEY SYSTEM UNIT;BROKEN;KDB (Plant) (51);KDB - Quality Assurance;In Process;02/02/2024;BAUKO (213SPA);KBI (9447);02/02/2024;;Paulo Dias;213SPA;Bauko;50;FY2023;2024
